Date,hour,Temp (F),RH (%),Dewpt (F),Wind Spd (mph),Wind Direction (deg),Visibility (mi),Precip (in),Wind Chill (F),Heat Index (F)
2016-09-30,0,76,44,53,8,250,10,0,NA,NA
2016-09-30,1,76,44,53,8,260,10,0,NA,NA
2016-09-30,2,75,46,53,8,240,10,0,NA,NA
2016-09-30,3,73,47,52,3,230,10,0,NA,NA
2016-09-30,4,74,48,53,5,210,10,0,NA,NA
2016-09-30,5,73,49,53,6,250,10,0,NA,NA
2016-09-30,6,78,41,53,6,270,10,0,NA,NA
2016-09-30,7,87,31,53,9,300,10,0,NA,85
2016-09-30,8,91,25,51,7,320,10,0,NA,88
2016-09-30,9,95,20,49,5,NA,10,0,NA,91
2016-09-30,10,96,19,48,0,NA,10,0,NA,92
2016-09-30,11,100,17,48,9,40,10,0,NA,96
2016-09-30,12,99,17,47,5,110,10,0,NA,95
2016-09-30,13,99,17,48,6,NA,10,0,NA,95
2016-09-30,14,98,18,48,6,240,10,0,NA,94
2016-09-30,15,98,18,48,3,230,10,0,NA,94
2016-09-30,16,98,19,49,3,100,10,0,NA,95
2016-09-30,17,94,21,49,3,140,10,0,NA,91
2016-09-30,18,91,26,52,15,240,10,0,NA,88
2016-09-30,19,89,27,51,13,230,10,0,NA,86
2016-09-30,20,86,30,51,9,250,10,0,NA,84
2016-09-30,21,86,30,51,10,260,10,0,NA,84
2016-09-30,22,84,33,52,9,240,10,0,NA,82
2016-09-30,23,82,35,52,8,310,10,0,NA,81
2016-10-01,0,79,34,49,6,290,10,0,NA,NA
2016-10-01,1,78,37,50,7,270,10,0,NA,NA
2016-10-01,2,83,34,52,11,230,10,0,NA,82
2016-10-01,3,78,49,58,13,180,10,0,NA,NA
2016-10-01,4,77,55,60,9,190,10,0,NA,NA
2016-10-01,5,76,57,60,7,180,10,0,NA,NA
2016-10-01,6,82,47,60,5,220,10,0,NA,82
2016-10-01,7,88,33,56,3,NA,10,0,NA,86
2016-10-01,8,92,24,51,5,250,10,0,NA,89
2016-10-01,9,94,20,48,0,NA,10,0,NA,90
2016-10-01,10,95,21,50,0,NA,10,0,NA,92
2016-10-01,11,96,21,50,8,110,10,0,NA,93
2016-10-01,12,97,19,49,7,NA,10,0,NA,94
2016-10-01,13,98,17,47,3,NA,10,0,NA,94
2016-10-01,14,98,17,46,6,NA,10,0,NA,94
2016-10-01,15,98,16,45,3,190,10,0,NA,94
2016-10-01,16,97,15,42,13,240,10,0,NA,93
2016-10-01,17,92,22,48,18,260,10,0,NA,89
2016-10-01,18,89,24,48,14,250,10,0,NA,86
2016-10-01,19,86,24,46,14,250,10,0,NA,83
2016-10-01,20,85,23,44,14,280,10,0,NA,82
2016-10-01,21,82,26,44,9,290,10,0,NA,80
2016-10-01,22,82,27,45,14,270,10,0,NA,80
2016-10-01,23,83,28,47,21,260,10,0,NA,81
2016-10-02,0,82,29,47,17,260,10,0,NA,80
2016-10-02,1,80,30,46,15,250,10,0,NA,NA
2016-10-02,2,79,31,46,11,260,10,0,NA,NA
2016-10-02,3,77,32,45,15,250,10,0,NA,NA
2016-10-02,4,78,30,45,14,260,10,0,NA,NA
2016-10-02,5,79,30,45,18,250,10,0,NA,NA
2016-10-02,6,82,24,42,23,250,10,0,NA,80
2016-10-02,7,86,17,37,21,250,10,0,NA,83
2016-10-02,8,90,13,33,23,260,10,0,NA,86
2016-10-02,9,93,10,30,21,250,10,0,NA,88
2016-10-02,10,95,8,26,17,230,10,0,NA,89
2016-10-02,11,97,6,22,18,230,10,0,NA,90
2016-10-02,12,96,7,23,22,230,10,0,NA,90
2016-10-02,13,97,8,26,28,250,10,0,NA,91
2016-10-02,14,95,8,27,25,250,10,0,NA,89
